Fecha,Hora,Magnitud,Latitud,Longitud,Profundidad,Referencia de localizacion,Fecha UTC,Hora UTC,Estatus
1/1/23,00:52:29,4,14.3593,-93.4227,21.3,"133 km al SUROESTE de MAPASTEPEC, CHIS",01/01/2023,06:52:29,revisado
1/2/23,03:57:51,4.4,16.0778,-95.5797,49.7,"43 km al SUROESTE de SALINA CRUZ, OAX",02/01/2023,09:57:51,revisado
1/3/23,05:49:57,4,13.9213,-93.0345,10,"127 km al SUROESTE de CD HIDALGO, CHIS",03/01/2023,11:49:57,revisado
1/4/23,14:21:31,4.1,15.6927,-93.7585,84.8,"44 km al SUR de TONALA, CHIS",04/01/2023,20:21:31,revisado
1/5/23,03:28:38,4.1,15.6618,-95.6533,23.9,"53 km al ESTE de CRUCECITA, OAX",05/01/2023,09:28:38,revisado
1/6/23,02:22:08,4,17.5335,-94.7052,151.4,"47 km al SURESTE de SAYULA DE ALEMAN, VER",06/01/2023,08:22:08,revisado
1/7/23,04:45:09,4.3,19.8268,-108.765,10,"359 km al SURESTE de CABO SAN LUCAS, BCS",07/01/2023,10:45:09,revisado
1/8/23,00:33:58,4,16.6152,-93.8455,139.2,"16 km al SUROESTE de CINTALAPA, CHIS",08/01/2023,06:33:58,revisado
1/9/23,03:35:53,4.1,15.9913,-95.035,19,"27 km al SURESTE de SALINA CRUZ, OAX",09/01/2023,09:35:53,revisado
1/10/23,03:02:00,4,16.5815,-93.7477,141.3,"13 km al SUR de CINTALAPA, CHIS",10/01/2023,09:02:00,revisado
1/11/23,06:21:12,4.1,30.532,-114.252,10,"78 km al SURESTE de SAN FELIPE, BC",11/01/2023,12:21:12,revisado
1/12/23,00:23:49,4.1,16.7892,-100.508,5,"47 km al SUR de ATOYAC DE ALVAREZ, GRO",12/01/2023,06:23:49,revisado
1/13/23,04:43:06,4,16.8152,-100.554,10,"45 km al SUROESTE de ATOYAC DE ALVAREZ, GRO",13/01/2023,10:43:06,revisado
1/14/23,04:39:07,4.2,17.4083,-94.602,144.2,"63 km al SUR de JALTIPAN DE MORELOS, VER",14/01/2023,10:39:07,revisado
1/15/23,02:18:57,4.2,16.4843,-93.8685,73.3,"28 km al NORTE de ARRIAGA , CHIS",15/01/2023,08:18:57,revisado
1/16/23,01:28:50,4,19.7613,-106.412,10,"155 km al SUROESTE de PUERTO VALLARTA, JAL",16/01/2023,07:28:50,revisado
1/17/23,00:08:35,4,17.9945,-101.156,57.4,"52 km al NORTE de PETATLAN, GRO",17/01/2023,06:08:35,revisado
1/18/23,00:34:24,4.3,16.6647,-100.743,10,"63 km al SUR de TECPAN, GRO",18/01/2023,06:34:24,revisado
1/19/23,00:21:34,4,16.6848,-93.5697,192.4,"16 km al ESTE de CINTALAPA, CHIS",19/01/2023,06:21:34,revisado
1/20/23,02:42:31,4.1,16.8007,-94.3343,123.8,"64 km al NORESTE de UNION HIDALGO, OAX",20/01/2023,08:42:31,revisado
1/21/23,02:44:50,4.1,17.2717,-95.478,110.4,"64 km al NOROESTE de MATIAS ROMERO, OAX",21/01/2023,08:44:50,revisado
1/22/23,01:53:21,4.1,16.4902,-95.0872,13.3,"8 km al SUR de CD IXTEPEC, OAX",22/01/2023,07:53:21,revisado
1/23/23,01:44:02,4.2,19.8653,-108.523,10,"354 km al OESTE de PUERTO VALLARTA, JAL",23/01/2023,07:44:02,revisado
1/24/23,01:42:00,4,16.6725,-93.83,155.7,"12 km al OESTE de CINTALAPA, CHIS",24/01/2023,07:42:00,revisado
1/25/23,04:30:52,4.1,16.8852,-95.273,101.7,"25 km al OESTE de MATIAS ROMERO, OAX",25/01/2023,10:30:52,revisado
1/26/23,01:43:09,4,18.6292,-106.256,10,"191 km al SUROESTE de CIHUATLAN, JAL",26/01/2023,07:43:09,revisado
1/27/23,15:12:24,4,14.9675,-94.1455,17,"128 km al SUROESTE de PIJIJIAPAN, CHIS",27/01/2023,21:12:24,revisado
1/28/23,00:13:52,4,15.1488,-96.1733,18.7,"69 km al SUR de CRUCECITA, OAX",28/01/2023,06:13:52,revisado
1/29/23,01:29:23,4,16.5223,-95.1647,5,"8 km al SUROESTE de CD IXTEPEC, OAX",29/01/2023,07:29:23,revisado
1/30/23,05:19:34,4,14.946,-92.5302,113.8,"22 km al SUROESTE de HUIXTLA, CHIS",30/01/2023,11:19:34,revisado
1/31/23,08:59:01,4.1,16.4693,-96.3038,66.4,"35 km al NORESTE de MIAHUATLAN, OAX",31/01/2023,14:59:01,revisado
2/1/23,01:25:22,4,14.8042,-92.76,66.2,"49 km al SUROESTE de HUIXTLA, CHIS",01/02/2023,07:25:22,revisado
2/2/23,02:21:40,4,20.4515,-105.639,7.8,"46 km al SUROESTE de PUERTO VALLARTA, JAL",02/02/2023,08:21:40,revisado
2/3/23,01:26:35,4.4,18.2277,-103.309,29.3,"63 km al SUR de COALCOMAN, MICH",03/02/2023,07:26:35,revisado
2/4/23,05:04:00,4.1,28.0308,-112.316,8.7,"77 km al NORTE de SANTA ROSALIA, BCS",04/02/2023,11:04:00,revisado
2/5/23,02:06:29,4.1,16.9408,-100.073,26,"7 km al SUR de COYUCA DE BENITEZ, GRO",05/02/2023,08:06:29,revisado
2/6/23,09:42:35,4.1,30.5795,-113.976,15.1,"92 km al SUROESTE de PUERTO PEÑASCO, SON",06/02/2023,15:42:35,revisado
2/7/23,03:31:06,4,14.682,-92.3443,76.9,"21 km al OESTE de CD HIDALGO, CHIS",07/02/2023,09:31:06,revisado
2/8/23,01:46:44,4,15.0003,-94.2962,16.1,"133 km al SUROESTE de TONALA, CHIS",08/02/2023,07:46:44,revisado
2/9/23,06:03:30,4,14.5402,-93.9305,10,"149 km al SUROESTE de PIJIJIAPAN, CHIS",09/02/2023,12:03:30,revisado
2/10/23,00:17:51,4,16.9972,-94.7117,118.4,"38 km al NORESTE de MATIAS ROMERO, OAX",10/02/2023,06:17:51,revisado
2/11/23,03:11:54,4,15.2645,-94.7825,16.1,"111 km al SURESTE de SALINA CRUZ, OAX",11/02/2023,09:11:54,revisado
2/12/23,18:28:15,4,16.5195,-95.0898,3.2,"5 km al SUR de CD IXTEPEC, OAX",13/02/2023,00:28:15,revisado
2/13/23,16:09:53,4.3,14.4528,-93.3875,75.9,"122 km al SUROESTE de MAPASTEPEC, CHIS",13/02/2023,22:09:53,revisado
2/14/23,03:56:44,4.1,15.978,-98.6917,17.1,"79 km al SUROESTE de PINOTEPA NACIONAL, OAX",14/02/2023,09:56:44,revisado
2/15/23,10:33:43,4,15.5428,-95.1428,23,"71 km al SUR de SALINA CRUZ, OAX",15/02/2023,16:33:43,revisado
2/16/23,00:11:54,4.2,17.6175,-95.9427,92.6,"55 km al SUR de LOMA BONITA, OAX",16/02/2023,06:11:54,revisado
2/17/23,01:08:14,4,17.7622,-100.17,55.5,"62 km al SUR de ARCELIA, GRO",17/02/2023,07:08:14,revisado
